Company Legal Name,Trading Name,Region,HQ based in country,Valid website link OR leave blank,Lead Owner,Qualified as a customer at [day],Website form request send?,Message sent,Generic email,Names,Emails,
IcePay,ICEPAY,Europe,Netherlands,icepay.com,,,,,,,,
Stichting Escrow Ice Pay,ICEPAY,Europe,Netherlands,icepay.nl,,,,,,,,
icondis travel technology solutions Gmbh & Co. KG,,Europe,GERMANY,icondis.com,,,,,,,,
Ideal Utilities Ltd,,Europe,UNITED KINGDOM,idealutilities.co.uk,,,,,,,,
Ideaseven Creative Solutions Limited,Ideaseven,Europe,CYPRUS,ideaseven.com,,,,,,,,
IDEMIA Hungary Kft,,Europe,HUNGARY,idemia.com,,,,,,,,
Docket and Form International Limited (Dafil),,Europe,REPUBLIC OF IRELAND,idfa-dafil.ie,,,,,,,,
IFSA Experts Corp.,IFSA Experts,Europe,CYPRUS,ifsaexperts.com,,,,,,,,
"ilogs, information logistics GmbH",ilogs,Europe,AUSTRIA,ilogs.com,,,,,,,,
Ilixium,,Europe,UNITED KINGDOM,iluxium.com,,,,,,,,
Inatec Payment AG,,Europe,SWITZERLAND,inatec.com,,,,,,,,
InBarrique/ Thomas Hom,,Europe,GERMANY,inbarrique.de,,,,,,,,
INblau Fabian Sperb,,Europe,GERMANY,inblau.de,,,,,,,,
Imprensa Nacional-Casa da Moeda S.A,,Europe,PORTUGAL,incm.pt,,,,,,,,
InComm Europe Limited,,Europe,UNITED KINGDOM,incomm-europe.com,,,,,,,,
The Independent Travel Company Limited,,Europe,UNITED KINGDOM,independenttravelexperts.co.uk,,,,,,,,
INFINITY PAY LTD,,Europe,UNITED KINGDOM,infinitypay.co.uk,,,,,,,,
ING Bank N.V.,,Europe,NETHERLANDS,ing.nl,,,,,,,,
ING Bank Slaski S.A.,,Europe,Poland,ingbank.pl,,,,,,,,
team in medias GmbH,,Europe,GERMANY,inmedias.de,,,,,,,,
Innocard AG,,Europe,SWITZERLAND,innocard.ch,,,,,,,,
InPlayNet Entertainment Limited,,Europe,MALTA,inplaynet.com,,,,,,,,
INSonline Limited,INS Online,Europe,BULGARIA,insonlineltd.org,,,,,,,,
code-x GmbH,,Europe,GERMANY,int.codex-x.com,,,,,,,,
Intaremit S.A,,Europe,SPAIN,intaremit.es,,,,,,,,
integer_net GmbH,,Europe,GERMANY,integer-net.de,,,,,,,,
IntelliShop AG,,Europe,GERMANY,intellishop.ag,,,,,,,,
Interactive Transaction Solutions Limited,,Europe,UNITED KINGDOM,interactivets.com,,,,,,,,
Interalp Touristik GmbH,Interalp,Europe,AUSTRIA,interalp-touristik.com,,,,,,,,
InterCard AG,,Europe,GERMANY,intercard.de,,,,,,,,
International Fintech UAB,International Fintech UAB/Vericents UAB,Europe,Lithuania,international-fintech.com,,,,,,,,
Inter Payment Nordic AB,,Europe,SWEDEN,interpay.se,,,,,,,,
Intrapay Ltd,Intrapay,Europe,MALTA,intrapay.com,,,,,,,,
Inventorum GmbH,,Europe,GERMANY,inventorum.com,,,,,,,,
Invia SSC Germany GmbH,,Europe,GERMANY,invia.de,,,,,,,,
Invictus Ventures Ltd.,,Europe,UNITED KINGDOM,invictusventures.co.uk,,,,,,,,
INZTITUT GmbH,,Europe,GERMANY,inztitut.de,,,,,,,,
Aypara Odeme Kurulusu A. S,,Europe,TURKEY,ipara.com.tr,,,,,,,,
iCorp Global Ltd,iCorp,Europe,UNITED KINGDOM,ipcorp.co.uk,,,,,,,,
IPG EUROPE LTD,IPG,Europe,CYPRUS,ipggroup.eu,,,,,,,,
iPOS S.A.,,Europe,POLAND,ipos.pl,,,,,,,,
IPSP Pay Limited,IPSP,Europe,CYPRUS,ipsp.com,,,,,,,,
Ironweb Ltd,Ironweb,Europe,UNITED KINGDOM,iron-web.co.uk,,,,,,,,
Iron Mountain Europe,,Europe,UNITED KINGDOM,ironmountain.co.uk,,,,,,,,
IT Card Centrum Technologii Platniczych SA,IT Card,Europe,POLAND,itcard.pl,,,,,,,,
IXOPAY GmbH,IXOPAY,Europe,AUSTRIA,ixopay.com,,,,,,,,
IYZI ODEME VE ELEKTRONIK PARA HIZMETLERI A.S.,,Europe,TURKEY,iyzico.com,,,,,,,,
Iyzi Teknoloji ve Odeme Sistemleri Anonim Sirketi,Iyzico,Europe,Turkey,iyzipayments.com,,,,,,,,
iZettle,,Europe,SWEDEN,izettle.com,,,,,,,,
JCB,,Europe,UK,jcbeurope.eu,,,,,,,,
JCC Payment Systems,JCC Payment Systems,Europe,CYPRUS,jcc.com.cy,,,,,,,,
JetTicket Software GmbH,JetTicket,Europe,AUSTRIA,jetticket.at,,,,,,,,
jfnetwork GmbH,,Europe,GERMANY,jfnet.de,,,,,,,,
Kramer Holding GmbH,,Europe,GERMANY,jhk.de,,,,,,,,
JMarquardt Technologies GmbH,,Europe,GERMANY,jmarquardt.com,,,,,,,,
Alternative Payments Ltd,,Europe,UNITED KINGDOM,judopay.com,,,,,,,,
JustOn GmbH,JustOn,Europe,GERMANY,juston.com,,,,,,,,
k1 agentur fuer neue medien,,Europe,GERMANY,k1-agentur.de,,,,,,,,
Kaching AB,Kaching,Europe,Sweden,kaching,,,,,,,,
Kando Solutions Limited,Kando 360 Solutions Limited,Europe,UNITED KINGDOM,kando360solutions.com,,,,,,,,
Kapthon AG,,Europe,GERMANY,kapthon.com,,,,,,,,
Kar-Tel Sp. z o.o.,,Europe,POLAND,kar-tel.pl,,,,,,,,
Karbil Yazilim ve Bilisim Tekn. Tic. a.s.,Karbil Yazilim,Europe,TURKEY,karbilyazilim.com,,,,,,,,
Kashing Limited,,Europe,United Kingdom,kashing.co.uk,,,,,,,,
KBC Group N.V,KBC,Europe,BELGIUM,kbc.com,,,,,,,,
Kindlink Foundation,Kindlink,Europe,United Kingdom,kindlink.com,,,,,,,,
KINEOX,,Europe,SPAIN,kineox.com,,,,,,,,
Kirchbaumer.com GmbH,Kirchbaumer,Europe,AUSTRIA,kirchbaumer.com,,,,,,,,
Klarna AB,Klarna,Europe,Sweden,klarna.com,,,,,,,,
Klarna Bank AB,,Europe,SWEDEN,klarna.se,,,,,,,,
Cyberservices Europe SA,Klik & Pay,Europe,Switzerland,klikandpay.com,,,,,,,,
Koch Neff & Volckmar GmbH,,Europe,GERMANY,knv-zeitfracht.de,,,,,,,,
Agentur König,Möbel-Agentur-König,Europe,GERMANY,koenig-moebel.com,,,,,,,,
Koicoms Ltd,Koicoms,Europe,UNITED KINGDOM,koicoms.com,,,,,,,,
KPS Payment GmbH & co. KG,,Europe,GERMANY,kps-payment.de,,,,,,,,
Kreativ & Soehne,,Europe,GERMANY,kreativundsoehne.de,,,,,,,,
Kubopay LTD,Kubopay,Europe,UNITED KINGDOM,kubopay.com,,,,,,,,
Kulam GmbH,,Europe,GERMANY,kulam.eu,,,,,,,,
Kwalitas Ltd,,Europe,UNITED KINGDOM,kwalitas.co.uk,,,,,,,,
London & Zurich Limited,,Europe,United Kingdom,landz.co.uk,,,,,,,,
Langley Business Systems (Retail) Limited,,Europe,UNITED KINGDOM,langleybusinesssystems.co.uk,,,,,,,,
Lantec,"Lantec, Inc.",Europe,UNITED KINGDOM,lantec.eu.com,,,,,,,,
Smart 4 Invest SPRL,S4I,Europe,BELGIUM,lasolutiondepaiement.be,,,,,,,,
Lavego AG,,Europe,GERMANY,lavego.de,,,,,,,,
Schibsted France,LeBoncoin,Europe,France,leboncoin.fr,,,,,,,,
Leitwerk Aviation,,Europe,GERMANY,leichtwerk.de,,,,,,,,
Lemon Way,Lemon Way,Europe,France,lemonway.com,,,,,,,,
Leza Efficiency B.V.,Pin,Europe,Netherlands,leza.nl,,,,,,,,
LHS Sons,LHS,Europe,UNITED KINGDOM,lhsltd.co.uk,,,,,,,,
liberECO payment solutions KG,,Europe,GERMANY,libereco-inkasso.de,,,,,,,,
Libertypay Limited,,Europe,UNITED KINGDOM,libertypay.co.uk,,,,,,,,
Gama Proconsult,,Europe,ROMANIA,listafirme.ro,,,,,,,,
LittlePay Limited,,Europe,UNITED KINGDOM,littlepay.com,,,,,,,,
Live Group,Live Group,Europe,United kingdom,livegroup.co.uk,,,,,,,,
Lloyd & Whyte Ltd,,Europe,UNITED KINGDOM,lloydwhyte.com,,,,,,,,
The Logic Group,,Europe,UNITED KINGDOM,logicgroup.com,,,,,,,,
LOUVRE HOTELS GROUP SAS,LOUVRE HOTELS,Europe,FRANCE,louvrehotels.comen,,,,,,,,
Lubee Pinverhuur BV,Lubee,Europe,Netherlands,lubee.nl,,,,,,,,
Lydia Solutions,,Europe,FRANCE,lydia-app.com,,,,,,,,
Austria Card SRL,,Europe,ROMANIA,lykos.ro,,,,,,,,
Inform P. Lykos S.A,,Europe,GREECE,lykosgroup.gr,,,,,,,,
Lyra Network,,Europe,FRANCE,lyra.com,,,,,,,,
Magnius BV,,Europe,Netherlands,magnius.com,,,,,,,,
Majority,,Europe,SWEDEN,majority.com,,,,,,,,
AS Maksekeskus,AS Maksekeskus,Europe,Estonia,maksekeskus.ee,,,,,,,,
FARKLI YATIRIM INSAAT A.S.,,Europe,TURKEY,mapikart.com.tr,,,,,,,,
Marginalen Bank Bankaktiebolag,Marginalen Bank,Europe,Sweden,marginalen.se,,,,,,,,
Marina Ahoy OÜ,Marina Ahoy,Europe,ESTONIA,marinaahoy.com,,,,,,,,
MarineXChange Software GmbH,MarineXChange,Europe,AUSTRIA,marinexchange.com,,,,,,,,
Markadis Limited,Markadis Limited,Europe,United Kingdom,markadis.com,,,,,,,,
Marketflow Limited,,Europe,UNITED KINGDOM,marketflow.com,,,,,,,,
Marketing Factory Consulting GmbH,,Europe,GERMANY,marketing-factory.de,,,,,,,,
Markit Business Solutions Limited,,Europe,MALTA,markitsolution.com,,,,,,,,
MasterCard Payment Transaction Services S.A.,,Europe,POLAND,mastercard.pl,,,,,,,,
Masterpayment Limited,,Europe,UNITED KINGDOM,masterpayment.com,,,,,,,,
Materna Communications a.s.,Materna,Europe,Czech Republic,maternacz.com,,,,,,,,
Matrix Computer GmbH,,Europe,GERMANY,matrix-computer.com,,,,,,,,
icd mattheus,,Europe,GERMANY,mattheus.de,,,,,,,,
MaxPay Limited,,Europe,MALTA,maxpay.com,,,,,,,,
McLear Ltd,,Europe,UNITED KINGDOM,mclear.com,,,,,,,,
MCO Pay Limited,MCO,Europe,MALTA,mco.ie,,,,,,,,
MCX Systems sp. z o. o.,MCX,Europe,POLAND,mcx.pl,,,,,,,,
meetingmasters.de,,Europe,GERMANY,meetingmasters.de,,,,,,,,
Mega Card Nordic AB,,Europe,SWEDEN,megacard.se,,,,,,,,
Beam AG,Beam AG,Europe,SWITZERLAND,megasoft.com,,,,,,,,
TSS-Touristik Service System GmbH,,Europe,GERMANY,meine-kooperation.de,,,,,,,,
Mellon Technologies,,Europe,GREECE,mellongroup.com,,,,,,,,
Menicon GmbH,,Europe,GERMANY,menicon.de,,,,,,,,
Online Merchant Connect Limited,Merchant Connect,Europe,UNITED KINGDOM,merchantconnect.com,,,,,,,,
METALPLEX SpA,,Europe,ITALY,metalplex.it,,,,,,,,
Metrics Development OU,Metricscat,Europe,ESTONIA,metricscat.com,,,,,,,,
Metro Cash & Carry Deutschland GmbH,,Europe,GERMANY,metro.de,,,,,,,,
MF Group srl - Publicenter,,Europe,ITALY,mfgroup.it,,,,,,,,
MiCamp Europe Kft,,Europe,HUNGARY,micamp.eu,,,,,,,,
BC Moldindconbank S.A.,,Europe,MOLDOVA REPUBLIC OF,micb.md,,,,,,,,
The Midcounties Co-operative Limited,,Europe,UNITED KINGDOM,midcounties.coop,,,,,,,,
mindscreen GmbH,,Europe,GERMANY,mindscreen.de,,,,,,,,
Mischu und Partners GmbH,,Europe,GERMANY,mischuandpartners.com,,,,,,,,
"MisterTango, UAB",MisterTango,Europe,Lithuania,mistertango.com,,,,,,,,
Mistral Pay Ltd.,Mistralpay,Europe,Malta,mistralpay.com,,,,,,,,
Miura Systems LTD,,Europe,UNITED KINGDOM,miurasystems.com,,,,,,,,
MobillyTX,MobillyTX,Europe,LATVIA,mobillytx.comen,,,,,,,,
Netopia SRL (Mobilpay),,Europe,ROMANIA,mobilpay.ro,,,,,,,,
Mobipaid Limited,,Europe,UNITED KINGDOM,mobipaid.com,,,,,,,,
Modirum MDPay OU,,Europe,ESTONIA,modirum.com,,,,,,,,
MOKA O DEME KURULU SU,,Europe,TURKEY,moka.com,,,,,,,,
Mollie B.V.,Mollie,Europe,Netherlands,mollie.com,,,,,,,,
Monek Ltd,,Europe,UNITED KINGDOM,monek.com,,,,,,,,
MONET+a. s,MONET+,Europe,CZECH REPUBLIC,MONETPLUS.CZ,,,,,,,,
Monex Financial Services Limited,,Europe,REPUBLIC OF IRELAND,monexfs.com,,,,,,,,
Monext,,Europe,FRANCE,monext.fr,,,,,,,,
Skrill Ltd,,Europe,UNITED KINGDOM,moneybookers.com,,,,,,,,
Moneylogistics B.V.,Moneylogistics,Europe,Netherlands,Moneylogisitics.nl,,,,,,,,
MoneyMatrix Limited,MoneyMatrix,Europe,Malta,moneymatrix.com,,,,,,,,
Money Mechanix,,Europe,UNITED KINGDOM,moneymechanix.co.uk,,,,,,,,
Moneynet S.p.A,MoneyNet,Europe,Italy,moneynet.it,,,,,,,,
Mayzus Financial Services Ltd.,MoneyPolo,Europe,United Kingdom,moneypolo.com,,,,,,,,
Monri Payments d.o.o.,Monri Payments,Europe,CROATIA,monri.com,,,,,,,,
Montredo GmbH,,Europe,GERMANY,montredo.com,,,,,,,,
Monzo Inc,,Europe,UNITED KINGDOM,monzo.com,,,,,,,,
Moreless Holding B.V.,,Europe,NETHERLANDS,morelessgroup.com,,,,,,,,
"Merchant Payment Acquiring Services, S.R.O.",,Europe,SLOVAK REPUBLIC,mpas.sk,,,,,,,,
mPAY24 GmbH,mPAY24,Europe,AUSTRIA,mpay24.com,,,,,,,,
MPP Global,,Europe,UNITED KINGDOM,mppglobal.com,,,,,,,,
media transfer AG,,Europe,GERMANY,mtg.de,,,,,,,,
Mutinet Kurumsal Hizmetler A.S. nka Aypara Odeme Kurulusu A.S.,Multinet,Europe,Turkey,multinet.com.tr,,,,,,,,
Multipay Sp z o.o.,,Europe,POLAND,multipay.com.pl,,,,,,,,
MultiSafePay b.v,,Europe,Netherlands,multisafepay.com,,,,,,,,
M World Business Solutions LTD,,Europe,UNITED KINGDOM,mwbsolutions.co.uk,,,,,,,,
Card Programs International,,Europe,MALTA,mycpicard.com,,,,,,,,
Sheerness Travel Agency Limited,Sheerness,Europe,UNITED KINGDOM,myeasysmile.co.uk,,,,,,,,
Software Engineering Muendane GmbH,,Europe,SWITZERLAND,myhakela.com,,,,,,,,
MYHSM,,Europe,UNITED KINGDOM,myhsm.com,,,,,,,,
MyPOS AD,MYPOS,Europe,Bulgaria,mypos.eu,,,,,,,,
Myriad Payments Limited,,Europe,GIBRALTAR,myriadpayments.com,,,,,,,,
Snowpass GmbH,,Europe,GERMANY,myskiticket.com,,,,,,,,
National Australia Group Europe Limited,Nab,Europe,UNITED KINGDOM,nab.com.au,,,,,,,,
The National Bank of Serbia - The Institute for Manufacturing Banknotes and Coins - Topcider,,Europe,REPUBLIC OF SERBIA,nbs.rs,,,,,,,,
Next Commerce GmbH,,Europe,GERMANY,nca.vc,,,,,,,,
FENZ-Software GmbH,necta,Europe,AUSTRIA,necta-group.com,,,,,,,,
NEKOM Customer Care GmbH,NEKOM,Europe,AUSTRIA,nekom.com,,,,,,,,
NEOSOFT,,Europe,Greece,neosoftltd.gr,,,,,,,,
NeoTu,NeoTu,Europe,POLAND,neotu.com,,,,,,,,
Netcetera AG,,Europe,SWITZERLAND,netcetera.com,,,,,,,,
NetDebit GmbH,NetDebit,Europe,Germany,netdebit-payment.de,,,,,,,,
NetPay Merchant Services Limited,,Europe,UNITED KINGDOM,netpay.co.uk,,,,,,,,
Nets Estonia AS,,Europe,ESTONIA,nets.eu,,,,,,,,
N&amp;TS Group,,Europe,ITALY,netsgroup.com,,,,,,,,
netz98 GmbH,,Europe,GERMANY,netz98.de,,,,,,,,
Nexi Payments S.p.A.,,Europe,ITALY,nexi.it,,,,,,,,
NexPay Merchant Services LTD,,Europe,UNITED KINGDOM,nexpay.uk,,,,,,,,
Nexway SAS,Nexway,Europe,France,nexway.com,,,,,,,,
NiD SA,,Europe,SWITZERLAND,nid.swiss,,,,,,,,
Nitecrest Ltd,,Europe,UNITED KINGDOM,nitecrest.co.uk,,,,,,,,
Nitrosell Ltd.,,Europe,UNITED KINGDOM,nitrosell.com,,,,,,,,
New International Union Channel AB,NIU Channel,Europe,SWEDEN,niuchannel.app,,,,,,,,
Nochex Limited,Nochex,Europe,United Kingdom,nochex.com,,,,,,,,
Noire Technology Limited,,Europe,UNITED KINGDOM,noiretech.com,,,,,,,,
NordPay Financial LTD,NordPay Financial Limited,Europe,United Kingdom,nordpay.eu,,,,,,,,
Novalnet AG,Novalnet,Europe,Germany,novalnet.com,,,,,,,,
OCTO LLC,,Europe,France,octo.com,,,,,,,,
Odeal Odeme Kurulusu A.S.,,Europe,TURKEY,ode.al,,,,,,,,
omeco GmbH,,Europe,GERMANY,omeco.de,,,,,,,,
Omnipay,Omnipay,Europe,REPUBLIC OF IRELAND,omnipay.thephpleague.com,,,,,,,,
omnis-online Ellas S.A.,,Europe,GREECE,omnis.solutions,,,,,,,,
OneSettle AS,OneSettle,Europe,Norway,onesettle.com,,,,,,,,
ONLOGIC Solutions GmbH,,Europe,GERMANY,onlogic.com,,,,,,,,
Oonex S.A.,Oonex,Europe,Belgium,oonex.com,,,,,,,,
Opal Transfer Ltd,,Europe,UNITED KINGDOM,opaltransfer.com,,,,,,,,
Opentech.com,,Europe,ITALY,Opentech.com,,,,,,,,
SIA WPS,Oplata,Europe,Latvia,oplata.com,,,,,,,,
Optile GmbH,,Europe,GERMANY,optile.de,,,,,,,,
Paysafe Financial Services Limited,Optimal Payments Limited,Europe,United Kingdom,optimalpayments.com,,,,,,,,
Optimus Pay Limited,Optimus Pay,Europe,United Kingdom,optimuspay.co.uk,,,,,,,,
Optipharm Computerlösungen für Apotheken GmbH,,Europe,GERMANY,optipharm.de,,,,,,,,
Optomany,,Europe,UNITED KINGDOM,optomany.com,,,,,,,,
Orangetrust s.r.o.,OrangePay,Europe,Czech Republic,orange-pay.cz,,,,,,,,
OXID eSales AG,,Europe,GERMANY,oxid-esales.com,,,,,,,,
OZAN LIMITED,,Europe,UNITED KINGDOM,ozan.com,,,,,,,,
Pagaqui - Pagamentos e Carregamentos S.A.,Pagaqui,Europe,Portugal,pagaqui.pt,,,,,,,,
Pago Payments Limited,,Europe,UNITED KINGDOM,pagopayments.com,,,,,,,,
Pan Nordic Card,,Europe,Sweden,pan-nordic.org,,,,,,,,
Papara Elektronik Para ve Odeme Hizmetleri AS,Papara,Europe,Turkey,papara.com,,,,,,,,
Turk Elektronik Para A.S.,,Europe,Turkey,param.com.tr,,,,,,,,
Nestpay Odeme Hizmetleri A.S.,Paratika,Europe,Turkey,paratika.com.tr,,,,,,,,
Parity Capital AG,Parity,Europe,SWITZERLAND,parity.com,,,,,,,,
ParkHere GmbH,,Europe,GERMANY,park-here.eu,,,,,,,,
Parkeon S.A.S.,,Europe,FRANCE,parkeon.com,,,,,,,,
Paylobby GmbH,Paylobby,Europe,GERMANY,pay-lobby.com,,,,,,,,
Pearls Applications AG,,Europe,GERMANY,pay-set.com,,,,,,,,
TinTel B.V.,pay.nl,Europe,Netherlands,pay.nl,,,,,,,,
Pay360 by Capita,,Europe,UNITED KINGDOM,pay360.com,,,,,,,,
PayAlly Limited,PayAlly Limited,Europe,United Kingdom,payally.eu,,,,,,,,
payART GmbH,,Europe,GERMANY,payart.de,,,,,,,,
Paybase Ltd,Paybase,Europe,United Kingdom,paybase.io,,,,,,,,
Paybis Ltd,,Europe,UNITED KINGDOM,paybis.com,,,,,,,,
PAYBOX.money GmbH,,Europe,GERMANY,paybox.com,,,,,,,,
Klon Odeme Kurulusu A.S.,PaybyMe,Europe,Turkey,payby.me,,,,,,,,
Paybypago,,Europe,MALTA,paybypago.com,,,,,,,,
Paybyrd BV,,Europe,NETHERLANDS,paybyrd.com,,,,,,,,
Turkcell Odeme ve Elektronik Para Hizmetleri A.S.,Paycell,Europe,Turkey,paycell.com.tr,,,,,,,,
PayCo Financial Services Limited,PayCo,Europe,United Kingdom,payco.io,,,,,,,,
PayCore.io Limited,,Europe,UNITED KINGDOM,paycore.io,,,,,,,,
J.F.A Consultancy,,Europe,NETHERLANDS,paydecision.com,,,,,,,,
Dek-co (UK),,Europe,United Kingdom,paydek.com,,,,,,,,
Paydoo,,Europe,LATVIA,paydoo.com,,,,,,,,
Payen Limited,,Europe,UNITED KINGDOM,payen.com,,,,,,,,
Payer Financial Services AB,Payer,Europe,Sweden,payer.se,,,,,,,,
payfair,payfair,Europe,BE,payfair.eu,,,,,,,,
Payfield B.V.,Payfield,Europe,Netherlands,payfield.com,,,,,,,,
Paybyway Oy,Bambora,Europe,Finland,payform.bambora.com,,,,,,,,
Payhawk OOD,Payhawk,Europe,BULGARIA,payhawk.com,,,,,,,,
Paylane SP Z.O.O.,Paylane,Europe,Poland,paylane.com,,,,,,,,
PAYLEVEN LTD,Payleven,Europe,United Kingdom,payleven.com,,,,,,,,
PayLink Sh.a,,Europe,ALBANIA,paylink.al,,,,,,,,
PAYMATICO PAYMENT INSTITUTION SL,Paymatico,Europe,Spain,paymatico.com,,,,,,,,
Payment Consultants SARL,,Europe,LUXEMBOURG,payment-consultants.com,,,,,,,,
Ingenico Payment Services,Ingenico Group,Europe,DENMARK,payment-services.ingenico.com,,,,,,,,
Payment Card Technologies ltd,,Europe,UNITED KINGDOM,paymentct.com,,,,,,,,
Payment Garage Gmbh,,Europe,GERMANY,paymentgarage.com,,,,,,,,
BIG FISH Payment Services Kft.,,Europe,HUNGARY,paymentgateway.hu,,,,,,,,
PAYMENTO FINANCIAL S.A.,,Europe,POLAND,paymento.pl,,,,,,,,
Paymentology Ltd,,Europe,UNITED KINGDOM,paymentology.co.uk,,,,,,,,
B-Forward GMBH,,Europe,GERMANY,paymentor.org,,,,,,,,
Payment Plus,,Europe,REPUBLIC OF IRELAND,paymentplus.ie,,,,,,,,
Natixis Payment Solutions,,Europe,FRANCE,payments.natixis.com,,,,,,,,
Paymentsave,,Europe,UNITED KINGDOM,paymentsave.co.uk,,,,,,,,
PaymentSense Limited,,Europe,UNITED KINGDOM,paymentsense.com,,,,,,,,
PaymentsMB Ltd,,Europe,UNITED KINGDOM,paymentsmb.com,,,,,,,,
Payment World Europe Ltd,,Europe,MALTA,paymentworld.eu,,,,,,,,
PayMail GmbG,,Europe,GERMANY,paymill.com,,,,,,,,
Paymix Limited,Paymix,Europe,Malta,paymix.eu,,,,,,,,
Paymove S.P.A,Paymove S.P.A.,Europe,Italy,paymove.eu,,,,,,,,
PAYNET ODEME HIZMETLERI A.S.,,Europe,TURKEY,paynet.com.tr,,,,,,,,
PaynetEasy Technology Limited,,Europe,GIBRALTAR,payneteasy.com,,,,,,,,
Paynopain Solutions S.L.,,Europe,SPAIN,paynopain.com,,,,,,,,
Paynovate SA,Paynovate/Loyaltek,Europe,Belgium,paynovate.com,,,,,,,,
Payone GmbH,Payone GmbH,Europe,Germany,payone.com,,,,,,,,
PayPlaza B.V.,,Europe,NETHERLANDS,payplaza.com,,,,,,,,
PayPro Spolka Akcyjna,PayPro,Europe,Poland,paypro.pl,,,,,,,,
Pays.cz.s.r.o,Pays,Europe,Czech Republic,pays.cz,,,,,,,,
Paysafe Processing Limited,,Europe,UNITED KINGDOM,paysafe.com,,,,,,,,
Paysafecard,Paysafecard,Europe,Austria,paysafecard.com,,,,,,,,
Payscout Limited,Payscout,Europe,Malta,payscout.com,,,,,,,,
PaySera Lt UAB,PaySera,Europe,Lithuania,paysera.com,,,,,,,,
Paysistant GmbH,,Europe,GERMANY,paysistant.com,,,,,,,,
Payson AB,Payson,Europe,Sweden,payson.se,,,,,,,,
Payspeedo,,Europe,UNITED KINGDOM,payspeedo.com,,,,,,,,
PaySquare S.E.,,Europe,NETHERLANDS,paysquare.eu,,,,,,,,
PaySysEU s.r.o.,PaySys,Europe,Czech Republic,paysys.cz,,,,,,,,
Loc Pay Systems B.V.,Loc Pay Systems,Europe,Netherlands,paysystems.nl,,,,,,,,
Phoenix Payments Ltd,Paytah,Europe,Malta,paytah.com,,,,,,,,
PAYTEN d.o.o. Beograd-Novi Beograd,,Europe,REPUBLIC OF SERBIA,payten.com,,,,,,,,
"Paytpv online Entidad de Pago, S.L.",PAYTPV,Europe,Spain,paytpv.com,,,,,,,,
PAYTR Odeme Hizmetleri A.S.,Paytr,Europe,Turkey,paytr.com,,,,,,,,
Paytrail Oyj,Paytrail,Europe,Finland,paytrail.com,,,,,,,,
Paytrek odeme Kurulusu Hizmetleri Anonim Sirketi,PayTrek,Europe,Turkey,paytrek.com,,,,,,,,
PAYTRIOT LTD,Paytriot Payments,Europe,United Kingdom,paytriot.co.uk,,,,,,,,
PayU Odeme KurulNorth Americau Anonim Sirketi formely known as PayU Bilgi Teknolojileri ve Odeme Hizmetleri Ltd Sti,Payu Turkiye,Europe,Turkey,payu.com.tr,,,,,,,,
PayU Czech republic s.r.o.,PayU,Europe,Czech Republic,payu.cz,,,,,,,,
PayU S.A,PayU polska,Europe,Poland,payu.pl,,,,,,,,
PayU S.A.,PayU Romania,Europe,Romania,payu.ro,,,,,,,,
Payworks GmbH,,Europe,GERMANY,PAYWORKS.COM,,,,,,,,
payXpert,Payxpert,Europe,NETHERLANDS,payxpert.com,,,,,,,,
Damaras,Payza,Europe,United Kingdom,payza.com,,,,,,,,
Payzoff t/a Wizok Technologies Limited,,Europe,GIBRALTAR,payzoff.com,,,,,,,,
Payzone Limited,,Europe,REPUBLIC OF IRELAND,payzone.ie,,,,,,,,
PCP GmbH,,Europe,GERMANY,pcp-europe.com,,,,,,,,
Centrum Rozliczen Elektronicznych Polskie Eplatnosci S.A,,Europe,POLAND,pep.pl,,,,,,,,
UAB Perio Pasiaugos,PP,Europe,Lithuania,perlopaslaugos.lt,,,,,,,,
Phoenix Media GmbH,,Europe,GERMANY,phoenix-media.eu,,,,,,,,
Cyber & Mason Holding B.V.,Pindirect,Europe,Netherlands,pindirect.nl,,,,,,,,
PinTip v.o.f.,,Europe,Netherlands,pintip.nl,,,,,,,,
Roark Holdings Limited,Pinwheelpay,Europe,United Kingdom,pinwheelpay.com,,,,,,,,
Planet Cash International Limited,,Europe,UNITED KINGDOM,planetcash.co.uk,,,,,,,,
Planet Pay Spolka z Ograniczona Odpowiedzialnoscia,,Europe,POLAND,planetpay.pl,,,,,,,,
PlanUndLicht Thomas Rhöse e.K.,,Europe,GERMANY,planundlicht.eu,,,,,,,,
Plastikkart Akilli Kart Iletisim Sistemleri,,Europe,TURKEY,plastkart.com.tr,,,,,,,,
S.C. C Solution SRL,PlatiOnline,Europe,Romania,plationline.ro,,,,,,,,
Pluscard GMBH,,Europe,GERMANY,pluscard.de,,,,,,,,
PMTsolutions AG,,Europe,GERMANY,pmtsolutions.eu,,,,,,,,
Poplatek Payments OY,,Europe,FINLAND,poplatek.fi,,,,,,,,
Positioning First Media GmbH,,Europe,GERMANY,positioning-first.de,,,,,,,,
POSPartner,POSPartner,Europe,DENMARK,pospartner.de,,,,,,,,
Post CH AG,,Europe,Switzerland,post.ch,,,,,,,,
Postel S.p.A,,Europe,ITALY,postel.it,,,,,,,,
PostFinance AG,,Europe,SWITZERLAND,postfinance.ch,,,,,,,,
Posti Messaging Oy,,Europe,FINLAND,postimessaging.com,,,,,,,,
PostPoint Services Limited,,Europe,REPUBLIC OF IRELAND,postpoint.ie,,,,,,,,
Powercash21 Solutions GmbH,,Europe,GERMANY,powercash21.com,,,,,,,,
